user,year,meta1,meta2
118,2024-06-04,-1200,Spese casa
119,2024-06-07,-33,Pizza
120,2024-06-07,-3.3,Autistrada
121,2024-06-09,-46,Pranzo
122,2024-06-09,-2.3,Autostrada
123,2024-06-09,-4.6,Biglietto corr spilimbergo
124,2024-06-12,-5,Tessera unicredit
125,2024-06-13,-615,Inarcassa I rata
126,2024-06-13,39,Unicredit restituziine truffa
127,2024-06-16,-5.25,Spesa
128,2024-06-16,-273.5,Tasse f24
129,2024-06-16,4162,Arch mansutti
130,2024-06-19,-45.97,Benzina
131,2024-06-25,-10,Arch mansutti raccomandata
132,2024-06-25,2082,Fattura 3 studio 8
133,2024-06-29,-56.67,Spesa
134,2024-06-29,30,Mamma
135,2024-06-30,-42.66,Libri
136,2024-07-04,-122,Ginecologo
137,2024-07-04,-5.2,Manga spyxfamily
138,2024-07-09,-5,Pantaloni mamma
139,2024-07-09,-15,Libro roma
140,2024-07-15,-244,Commercialista 2024
141,2024-07-07,-52.6,Italo roma
142,2024-07-12,-7.5,Gelato
143,2024-07-12,-5.7,Aperitivo
144,2024-07-12,-25,Farmacia
145,2024-07-13,-11.4,Ikea
146,2024-07-13,-25.07,Brikonova
147,2024-07-15,-2,Parcheggio
148,2024-07-15,30,Arch Clemencig
149,2024-07-12,-60,Tende mamma
150,2024-07-16,80,Mamma
151,2024-07-16,-2,Parcheggio
152,2024-06-24,-32.3,Libri
153,2024-07-17,-6.5,Cartina roma
154,2024-07-21,-11.4,Cancelleria
155,2024-07-21,-16.97,Spesa
156,2024-07-21,20,Mamma
157,2024-07-28,-47.56,Benzina
158,2024-07-28,-10,Spesa
159,2024-07-29,-2,Parcheggio lavoro
160,2024-07-29,-4.3,Caffe
161,2024-07-30,15,Arc clemencig
162,2024-07-30,-2,Parcheggio
163,2024-08-02,-10,Metro
164,2024-08-02,-32.12,Spesa
165,2024-08-02,30,Mamma
166,2024-08-05,-5.95,Parcheggio lavoro
167,2024-08-06,-4.5,Caffe ganis
168,2024-08-06,50,Orioles via Roma
169,2024-08-10,-15,Lignano
170,2024-08-13,-18.98,Decathlon
171,2024-08-17,-26.5,Pizza lignano
172,2024-08-17,-495,Assicuraziine auto
173,2024-08-19,-70,Assciurazione auto
174,2024-08-23,-19.9,Libro
175,2024-09-03,60,Arch clemencig
176,2024-09-03,-2,Parcheggio
177,2024-08-27,421.5,Vacanze Roma
178,2024-09-08,-3.11,Corsi domestika
179,2024-09-09,-50,Farmacia verochol
180,2024-09-09,-45.62,Benzina
181,2024-09-09,-19.95,Felpa ovs
182,2024-09-11,-2.8,Caffé paluzza
183,2024-09-11,-6.5,Pranzo pizza
184,2024-09-11,50,Mamma
185,2024-09-11,-48.38,Test covid, sabbietta gatto amazon
186,2024-09-12,-2,Parcheggio
187,2024-09-13,-7,Mandorle friuli ciok
188,2024-09-13,-20.8,Pranzo con mamma e alba
189,2024-09-13,20,Mamma
190,2024-09-14,-24.3,Friuli ciok
191,2024-09-15,-2.9,Topini silvestro
192,2024-09-15,-15.23,Spesa tosano
193,2024-09-17,-627,2 rata inarcassa
194,2024-09-20,-42,Tokyo
195,2024-09-20,100,Arch Clemencig
196,2024-09-20,-5.4,Treno pordenone
197,2024-09-22,-14,Treno venezia
198,2024-09-22,-56,Biglietti biennale ve
199,2024-09-27,-2.5,Regalino alberto
200,2024-09-28,-35.4,Spesa tosano
201,2024-09-28,7,Mamma
202,2024-09-29,-6.95,Cuscino casa alberto
203,2024-10-01,-75,Dentista pulizia
204,2024-10-05,-4.6,Biglietto spilimbergo
205,2024-10-06,-14,Treno ve-ud
206,2024-10-06,-1.7,Acqua e wc venezia
207,2024-10-06,-2,Parcheggio
208,2024-10-06,-2,Parcheggio
209,2024-10-12,-20,Alberto
210,2024-10-12,-5.5,Cibo silvestro
211,2024-10-16,-563.12,Rc professionale assigeco
212,2024-10-17,-14.25,Libro mamma
213,2024-10-18,-2,Parcheggio
214,2024-10-19,-40.8,Erboristeria cividale
215,2024-10-19,40,Mamma erboristeria
216,2024-10-19,-3.05,Pane
217,2024-10-20,-15,Pizza
218,2024-10-22,10,Ar h Clemencig
219,2024-10-26,115.2,Cedole banca
220,2024-10-27,20,Mamma
221,2024-10-27,-39.68,Creme
222,2024-10-27,-1.1,Foglio alberto
223,2024-10-27,-4.35,Cibo silvestro
224,2024-10-28,-2,Parcheggio
225,2024-10-28,-48.93,Benzina
226,2024-10-28,-703.13,Inarcassa
227,2024-10-28,4682,Arch Mansutti
228,2024-11-02,-30,Scarpe
229,2024-11-02,30,Arch Clemencig
230,2024-11-02,50,Arch Zecchini
231,2024-11-08,15,Arch Clemencig
232,2024-11-08,-20,Regalo Alberto
233,2024-11-09,-9.5,Corriera
234,2024-11-12,-85,Ecografia mammaria
235,2024-11-16,-11.4,Gelato
236,2024-11-19,-328.5,2 rata tasse
237,2024-11-23,-5.9,Brikonova
238,2024-11-23,5,Mamma
239,2024-11-23,180,Mamma
240,2024-11-23,-179.85,Cell mamma
241,2024-11-24,-12.03,Spesa
242,2024-11-24,5,Alberto
243,2024-11-24,6,Mamma
244,2024-11-29,-6,F24
245,2024-11-30,-12,Libro
246,2024-11-30,-12.95,Spesa
247,2024-11-30,-9.9,Bubble tea
248,2024-12-07,-38.5,Spesa
249,2024-12-07,-50,Abbonamento feff25
250,2024-12-09,-2,Parvheggii
251,2024-12-13,-2.4,Caffè
252,2024-12-13,-10,Piadina
253,2024-12-13,90,Arch Bortolotti
254,2024-12-13,-18.06,Benzina
255,2024-12-14,-11,Calendario e grattini
256,2024-12-14,-24,Libro
257,2024-12-15,-3,Cioccolata
258,2024-12-16,-150,Farmacia
259,2024-12-16,30,Mamma
260,2024-12-18,72.8,Arch Perraro
261,2024-12-19,-26.2,Ciocvolatini mamma
262,2024-12-21,-50.95,Regalo mamma
263,2024-12-21,-14.05,Spesa
264,2024-12-23,-40,Regalo Alberto
265,2024-12-26,-6.5,Caffe
266,2024-12-29,-16,Biglietti scala contarini-boboli
267,2024-12-29,-33,Biglietto guggenheim
268,2024-12-29,-1.04,Bibita venezia
269,2024-12-30,-6,Grartini mamma
270,2024-12-30,-6.9,Spesa
271,2024-12-30,5202,Arch Mansutti
272,2024-12-31,-50,Iliad
